pincode,circle,region,division,offices
799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O, Dhuptali B.O, East Mirza B.O, Hadra B.O, Ichacherra B.O, Jitendranagar B.O, Kamrangatali B.O, Kishoreganj B.O, Kusumara B.O, Mogpuskarini B.O, Mohanbhog B.O, Palatana B.O, Paschim Mogpuskarini B.O, Rani B.O, Samukcherra B.O, Silghati B.O, Taibandal B.O, Upendranagar B.O"
799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O, Kupilong B.O, Bagma ED B.O, Garjanmura B.O"
799114,North Eastern Circle,Shillong HQ Region,Agartala Division,"Gakulpur S.O, Khilpara B.O, Killarbazar B.O, Manikya B.O, Pitra Bazar B.O, Raiyabari B.O, Rajarbag B.O, Rajnagar Colony B.O, Thelakum B.O, Uttar Brojendranagar B.O, Salgarah B.O"
799115,North Eastern Circle,Shillong HQ Region,Agartala Division,"Melaghar S.O, Bagabassa B.O, Bardwal B.O, Battali B.O, Chandigarh B.O, Chowmouhani B.O, Durlavnarayan B.O, Jumerdhepa B.O, Kemtali B.O, Khas Chowmouhani B.O, Lakshmandhepa B.O, Nalchar B.O, Rudijala B.O, Telkajla B.O, Urmai B.O, West Nalchar B.O"
799120,North Eastern Circle,Shillong HQ Region,Agartala Division,Radhakishorepur H.O
799125,North Eastern Circle,Shillong HQ Region,Agartala Division,"Garjee S.O, Gangacherra B.O, Kalabon B.O, Paikhola B.O, Paschim Paticherri Colony B.O, Rajapur B.O, Tainani B.O, Takmacherra B.O"
799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O, Kanchanmala B.O, Pandavpur B.O, Paschim Gokulnagar B.O, Pravapur B.O, Rayermura B.O, Surjamaninagar B.O, Viveknagar B.O"
799131,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sonamura S.O, Dhanirampur B.O, Bejimara B.O, Dhanpur B.O, Durgapur B.O, Induria B.O, Kamalnagar B.O, Kathalia B.O, Khedabari B.O, Kulubari B.O, Matinagar B.O, Nidaya BO, Rabindranagar Colony B.O"
799132,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kathalia S.O, Bhabanipur B.O, Jatrapur B.O, Maheshpur B.O, Manaipathar B.O, Nirvoypur B.O, Kalikrishnagar B.O"
799141,North Eastern Circle,Shillong HQ Region,Agartala Division,"Jolaibari S.O, Dakshin Hichacherri B.O, Debdaru Bazar B.O, Kalashi Bazar B.O, Kwaifung B.O, Madhya Pillak B.O, Paschim Pillak B.O, Sakbari B.O, Thakurcherra B.O"
