business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
THE BRAVE CAREER INSTITUTE,NEET and JEE Coaching Center,Coaching Center,Coaching Center,802111,Bihar circle,Patna HQ Region,Bhojpur Division,"Diaman BO, Jogia BO, Kathar BO",+91 96616 00543,N/A,4.5,404,"Katira Rd, Maharaja Hata, Katira, Arrah, Bihar 802301","Maharaja Hata, Katira",25.5516828,84.65672149999999,ChIJJXWlxW9fjTkRCiA07wMOx3w,https://www.google.com/maps/place/?q=place_id:ChIJJXWlxW9fjTkRCiA07wMOx3w,part_376,2026-09-20 20:30:52
"ALLEN Career Institute - Muzaffarpur Campus | IIT JEE, NEET & Foundation Coaching",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Educational institution",802111,Bihar circle,Patna HQ Region,Bhojpur Division,"Diaman BO, Jogia BO, Kathar BO",+91 96079 50612,https://www.allen.ac.in/muzaffarpur/?utm_source=GMB&utm_medium=Organic&utm_campaign=ALLEN_Career_Institute_Muzaffarpur,4.6,129,"Shiv Mitra Tower, above Zudio Mall, Punjabi Colony, New Colony, Gannipur, Muzaffarpur, Bihar 842002","Punjabi Colony, New Colony, Gannipur",26.1113821,85.3856337,ChIJyy7oPxUR7TkRW2mJjkl3HUM,https://www.google.com/maps/place/?q=place_id:ChIJyy7oPxUR7TkRW2mJjkl3HUM,part_376,2026-09-20 20:30:52
"ALLEN Career Institute - Darbhanga | IIT JEE, NEET & Foundation Coaching",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Educational institution",802111,Bihar circle,Patna HQ Region,Bhojpur Division,"Diaman BO, Jogia BO, Kathar BO",+91 77997 90241,https://www.allen.ac.in/darbhanga/?utm_source=GMB&utm_medium=Organic&utm_campaign=ALLEN_Career_Institute_Admission_Office_Darbhanga,4.6,56,"Maruti Suzuki Arena, VIP Rd, Allalpatti, Laheriasarai, Darbhanga, Bihar 846004","Allalpatti, Laheriasarai",26.1389139,85.9078591,ChIJz5gPz1-57TkRV3lTUCPtmvo,https://www.google.com/maps/place/?q=place_id:ChIJz5gPz1-57TkRV3lTUCPtmvo,part_376,2026-09-20 20:30:52
"ALLEN Career Institute - Bhagalpur | IIT JEE, NEET & Foundation Coaching",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Educational institution",802111,Bihar circle,Patna HQ Region,Bhojpur Division,"Diaman BO, Jogia BO, Kathar BO",+91 77997 40180,https://www.allen.ac.in/bhagalpur/?utm_source=GMB&utm_medium=Organic&utm_campaign=ALLEN_Career_Insitute_Admission_Office_Bhagalpur,4.7,122,"RN Plaza, above V2 Mall, Bhikhanpur, Bhagalpur, Bihar 812001",Bhikhanpur,25.2497527,86.989222,ChIJ3yDBawZJ8DkR5kpVVTV-qcI,https://www.google.com/maps/place/?q=place_id:ChIJ3yDBawZJ8DkR5kpVVTV-qcI,part_376,2026-09-20 20:30:52
