pincode,circle,region,division,offices
796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O, Chhiahtlang B.O, Chhipphir B.O, Kanghmun 'S' B.O, Keitum B.O, Khawlailung B.O, Lungpho B.O, New Serchhip B.O, Sialhau B.O, Thinglian B.O, Zote 'S' B.O"
796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O, Sialsir B.O"
796186,North Eastern Circle,North Eastern Region,Mizoram Division,"Thenzawl S.O, Chhipphir B.O, Kanghmun 'S' B.O, Ramlaitui B.O, Zote South B.O"
796190,North Eastern Circle,North Eastern Region,Mizoram Division,"Aibawk S.O, Hmuifang B.O, Lamchhip B.O, Maubuang B.O, Phulpui B.O, Sailam B.O, Samlukhai B.O, Sateek B.O, Sumsuih B.O, Tachhip B.O, Thiak B.O, Sialsuk B.O"
796230,North Eastern Circle,North Eastern Region,Mizoram Division,Sialsuk S.O
796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O, Changzawl B.O, Keifang B.O, Khawlian B.O, Luangpawn B.O, Lungpher 'N' B.O, Maite B.O, Mualpheng B.O, N.E.Bualpui B.O, N.Khawlek B.O, Pawlrang B.O, Phuaibuang B.O, Phullen B.O, Ruallung B.O, Saichal B.O, Sihfa B.O, Suangpuilawn B.O, Tualbung B.O, Vanbawng B.O, Zawngin B.O"
796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O, Khawkawn B.O, Lamzawl B.O, Mimbung B.O, Ne Khawdungsei B.O, Selam B.O, Teikhang B.O"
796310,North Eastern Circle,North Eastern Region,Mizoram Division,"Khawzawl S.O, Chalrang B.O, Chawngtlai B.O, Chhawrtui B.O, Dulte B.O, Kawlkulh B.O, Khawhai B.O, Lungtan B.O, N.Chalrang B.O, Neihdawn B.O, Puilo B.O, Riangtlei B.O, Rullam B.O, Tualpui B.O, Tualte B.O, Vanchengpui B.O, Vangtlang B.O, Ngaizawl B.O"
796320,North Eastern Circle,North Eastern Region,Mizoram Division,"S.Khawbung S.O, Bungzung B.O, Dungtlang B.O, Farkawn B.O, Khuangthing B.O, Leithum B.O, Muallung B.O, Samthang B.O, Sazep B.O, Vangchhia B.O, Vanzau B.O, Vaphai B.O"
796321,North Eastern Circle,North Eastern Region,Mizoram Division,"Champhai S.O, Dilkawn B.O, Bethel B.O, Chhawkhlei B.O, Hmunhmeltha B.O, Hnahlan B.O, Hruaikawn B.O, Kelkang B.O, Khawnuam B.O, Khuangleng B.O, Khuangphah B.O, Leisenzo B.O, Lungphunlian B.O, Maulkawi B.O, Murlen B.O, N.Khawbung B.O, Ngur B.O, Ruantlang B.O, Sesih B.O, Tlangsam B.O, Tualcheng B.O, Vapar B.O, Vengthlang B.O, Zote 'e' B.O, Zokhawthar B.O, Vaikhawtlang B.O"
796370,North Eastern Circle,North Eastern Region,Mizoram Division,"Lungdar S.O, Biate B.O, Leng B.O, Mualcheng B.O, Sailulak B.O, Sialhawk B.O, Tlangpui B.O"
