pincode,circle,region,division,offices
797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O, Diphupar B.O, Eralibill B.O, Showba Old B.O, Sugar Mill Project B.O, Sukhovi B.O, Ikishe B.O"
797116,North Eastern Circle,North Eastern Region,Nagaland Division,"Dimapur Bazar S.O, Khehekhu B.O, Kuhuboto B.O, Kushiabill B.O, Padampukhuri B.O, Vihokhu B.O"
797117,North Eastern Circle,North Eastern Region,Nagaland Division,"Circular Road S.O, Singal Village B.O, Pwd Colony B.O, Zeliangrong B.O"
797118,North Eastern Circle,North Eastern Region,Nagaland Division,"Signal Village, Rangapahar B.O, Thahekhu B.O"
797120,North Eastern Circle,North Eastern Region,Nagaland Division,"P.R.Hill S.O, Lalmati B.O, Phesama B.O, Zubza B.O"
797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O
798601,North Eastern Circle,North Eastern Region,Nagaland Division,"Mokokchung S.O, Aolijen B.O, Arree Old B.O, Changki B.O, Chare B.O, Chungtia B.O, Fazl Ali College B.O, Kubza B.O, Longkhum B.O, Longmisa B.O, Longsa B.O, Mangmentong B.O, Nst Colony B.O, S. E. Colony B.O, Tronger B.O, Ungma B.O, V. K. Town B.O, Ongpangkong B.O, Khensa B.O"
798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O, Zaboka B.O, Zangkham B.O"
798603,North Eastern Circle,North Eastern Region,Nagaland Division,"Champang S.O, Angphang B.O, Chenloisho B.O, Chenwetnyu B.O, Chingkao B.O, Chinglong B.O, Jakpang B.O, Longching B.O, Monyakshu B.O, Pessao B.O, Tobu B.O, Ukha B.O"
798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O, Chungtia Yimsen B.O, Khari B.O, Longchem B.O, Longnak B.O, Mongchen B.O, Waromung B.O"
798607,North Eastern Circle,North Eastern Region,Nagaland Division,Alichen S.O
