pincode,circle,region,division,offices
795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O, Champanagar B.O, Chingmun B.O, Jakurdhar B.O, Kh Jaikhan B.O, Latingkhal B.O, Longpi B.O, Patpuimun B.O, Phaibok Mullen B.O, Sonapur B.O, Suangpuimun B.O, Tuitengmun B.O, Chongmun B.O"
795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O, Tuikham B.O, Tuining B.O, Tuitengphai B.O"
795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O, Galam B.O, Gangpijang B.O, Ichaigojang B.O, Jangnoi B.O, Makeng Ngarolu B.O, Makokchung B.O, Molkon B.O, Mutukhong B.O, Pangjang B.O, Phaikon B.O, Sangpei Khullen B.O, T. Awkhumbung B.O, Tingpibung B.O, Zelengphai B.O"
795122,North Eastern Circle,North Eastern Region,Manipur Division,"Kalapahar S.O, Chandraman B.O, Haipi B.O, Keithelmanbi B.O, Kheljang B.O, Persian B.O, Thanamba B.O, Tokpa B.O"
795124,North Eastern Circle,North Eastern Region,Manipur Division,"Loktak Project S.O, Charoi Khullel B.O, Jiban Nager B.O, Leimatak B.O, Mayuran B.O, Sadukhoiroi B.O, Tokpalamdan B.O"
795125,North Eastern Circle,North Eastern Region,Manipur Division,"Tamei S.O, Atang Khunou B.O, Chaiton B.O, Dullen (T/C/D) B.O, Illong B.O, Jampii (T/C/D) B.O, Kadi B.O, Kasanlong B.O, Khumphung B.O, Kuilong B.O, Lemta B.O, Lenglong B.O, Magulong B.O, New Lamlaba B.O, Takou B.O, Upper Selsi (T/c/d) B.O"
795126,North Eastern Circle,North Eastern Region,Manipur Division,"Dolang B.O, Dolang Khunou B.O, Bishnupur S.O (Bishnupur), Khoijuman B.O, Khongbung B.O, Khunpi Naosem B.O, Lamdangmei B.O, Ngaikhong Khullen B.O, Ngarian B.O, Nungsai Chiru B.O, Thangal B.O, Toubul B.O, Zouzangtek B.O, Khoupum B.O"
795127,North Eastern Circle,North Eastern Region,Manipur Division,"Chandel S.O, Duthang B.O, Larong B.O, Liwasarai B.O, Mittong B.O"
795128,North Eastern Circle,North Eastern Region,Manipur Division,"Churachandpur S.O, Aina B.O, Chehjang B.O, Chothemunpi B.O, Geljang B.O, Hamkeilon B.O, Henglep B.O, Kangvai Bazar B.O, Khanpi B.O, Kolhen B.O, Kumbipukhri B.O, Kwanpui B.O, Lailong B.O, Lungsai B.O, Lungshung B.O, Mission Compound B.O, Munpi B.O, Phaipheng B.O, Saiden B.O, Saikhul Village B.O, Sangphou B.O, Santing B.O, Sielmet B.O, South Kotlein B.O, Takvom B.O, Teiyong B.O, Thangshi B.O, Thinkew B.O, Tollen B.O, Tolphei B.O, Tuinom B.O, Tulaphei B.O, Ukha B.O, Kamkeilon B.O, Chingkonpang S.O, M.Songel B.O"
795129,North Eastern Circle,North Eastern Region,Manipur Division,"Kangpokpi S.O, Henbung B.O, Kangpokpi Mission B.O, Maohiing B.O, Maohing B.O, Taphou B.O, Thonglang B.O, Toribari B.O"
