pincode,circle,region,division,offices
799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O, Latiapur B.O, Rangauti B.O, Tripura Tillabazar B.O"
799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O"
799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O, Dalapatipara B.O, Jagabandhu Para B.O, Laxmipur B.O, Ranipukur B.O"
799285,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kamalpur S.O (Dhalai), Bagaicherri B.O, Baligaon B.O, Chotosarma B.O, Garodtilla B.O, Maracherra B.O, Noagoan B.O, Ramdurlavpur B.O, Singibill B.O, Fulcherri B.O, Kamalpur Bazar B.O"
799286,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Halahali S.O, Abhanga B.O, Apareshkar B.O, Mahavir T.E. B.O, Baralutma B.O, Chengkap B.O, Jamthing B.O, Katalutma B.O, Durga Chowmuhani BO"
799287,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Manikbhander S.O, Kamalpur Aerodrome B.O, Kuchainala B.O, Nagbangshi B.O, Srirampur Lambucherra B.O"
799288,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kanchanbari S.O, Dengdung B.O, Dudhpur B.O, Laljuri East B.O, Masauli B.O, Nepaltilla B.O, Taraninagar B.O, Ujan Dodhpur B.O"
799289,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Ambassa S.O, Chandraipara B.O, Ganganagar Tribalcolony B.O, Harincherra B.O, Kamalacherra B.O, Kanchanpur Colony B.O, Karnamunipara B.O, Lakraichowdhuripara B.O, Sikaribari B.O"
799290,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Fatikroy S.O, Emrapassa B.O, Fatikcherra B.O, Gakulnagar B.O, Ganganagar B.O, Noagaon Bazar B.O, Paschimratacherra B.O, Rajkandi B.O, Ratacherra B.O, Saidarpar B.O, Tarapur B.O, Teghari B.O, Uttar Radhanagar B.O"
800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO, BPSC SO, Chiraiyatand SO, Darul Mallick SO, Gardanibagh SO, Hotel Republic SO, Indian Nation SO, Jamal Road SO, Kidwaipuri SO, Mithapur SO Patna, Navshakti SO, New Jakkanpur SO, Postal Park SO, Punaichak SO, RBlock SO, Sri Krishnapuri SO, Patna GPO"
800002,Bihar Circle,Patna HQ Region,Patna Division,"ANISABAD S.O, BEUR BO, PAKRI BO"
800003,Bihar Circle,Patna HQ Region,Patna Division,Kadamkuan SO
800004,Bihar Circle,Patna HQ Region,Patna Division,"Bankipore HO, JCRoad SO, Machhuatoli SO, Naya Tola SO Patna, PMCH SO"
800005,Bihar Circle,Patna HQ Region,Patna Division,Patna University SO
800006,Bihar Circle,Patna HQ Region,Patna Division,"Mahendru SO, MYSandalpur SO"
800007,Bihar circle,Patna HQ Region,Patna Division,"Bairia BO, Mangla Devi BO, Nadghat BO, Sonagopalpur BO, Gulzarbagh SO, Dental College SO, Fatehpur B.O, Nanmuhia SO"
800008,Bihar circle,Patna HQ Region,Patna Division,"Chaughara BO, Patna City SO, Chowk Shikarpur SO, Diwan Mohalla SO, Katra Bazar SO Patna, Machharhatta SO, Mahavir Asthan SO, Marufganj SO, Pachhim Darwaza SO, Sri Madhoji Mills SO, MEHDIGANJ S.O"
800009,Bihar circle,Patna HQ Region,Patna Division,"Kothia BO, Maranchi B.O, Punadih BO, Sabalpur BO, Begampur SO Patna"
800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO
800011,Bihar Circle,Patna HQ Region,Patna Division,"Dighaghat SO, Makhdumpur Digha SO"
800012,Bihar Circle,Patna HQ Region,Patna Division,"DIGHA S.O, Akilpur BO, NAYA PANAPUR BO, PANAPUR BO"
800013,Bihar Circle,Patna HQ Region,Patna Division,Patliputra SO
800014,Bihar Circle,Patna HQ Region,Patna Division,"BV College SO, Patna Aerodrome SO, Sheikhpura SO Patna"
800015,Bihar Circle,Patna HQ Region,Patna Division,Patna Sectt SO
800016,Bihar Circle,Patna HQ Region,Patna Division,Rajendra Nagar SO Patna
800017,Bihar Circle,Patna HQ Region,Patna Division,BSEBOARD SO
800018,Bihar Circle,Patna HQ Region,Patna Division,Bataganj SO
800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO
800020,Bihar circle,Patna HQ Region,Patna Division,"DHELMA BO, Ashok Nagar SO Patna, Chitragupta Nagar SO, KSector SO, RMS Colony SO, West Lohianagar SO, LOHIA NAGAR H.O"
800021,Bihar Circle,Patna HQ Region,Patna Division,Vidyut Parisad SO
800022,Bihar Circle,Patna HQ Region,Patna Division,RAJ BHAWAN SO
800023,Bihar Circle,Patna HQ Region,Patna Division,LBS Nagar SO
800024,Bihar Circle,Patna HQ Region,Patna Division,Keshari Nagar S.O
800025,Bihar Circle,Patna HQ Region,Patna Division,Ashiananagar SO
800026,Bihar Circle,Patna HQ Region,Patna Division,"BHColony SO, Kumhrar SO"
800027,Bihar Circle,Patna HQ Region,Patna Division,New Jaganpura SO
800028,Bihar Circle,Patna HQ Region,Patna Division,Patna High Court SO
800030,Bihar Circle,Patna HQ Region,Patna Division,"Purvi laxmi nagar SO, M KACHUARA BO, PAHARI BO"
801102,Bihar circle,Patna HQ Region,Patna Division,"Aikhan BO, BHARATPURA BO, JAMUI BO, LALA BHADSARA BO, MDIHULI BO, SADAWAH BO, SAHORA BO, SIHI BO, SINGHARA BO, SORANGPUR BO, BELHAURI S.O"
801103,Bihar Circle,Patna HQ Region,Patna Division,"BIHTA S.O, Amhara BO, Anandpur BO, ANANDPUR HOMEGUARD BO, BAHPURA BO, DSIMARI BO, KANCHANPUR BO, KATESHAR BO, KUNJWAN BO, MUSEPUR BO, PPAINATHI BO, TARANAGAR BO"
